legacy_codigo,cnpj,nome,cidade,estado,telefone,fonte,metodo
021323,04029533000157,DEPÓSITO DE MATERIAIS DE CONSTR. DRC LTDA,MARINGA,PR,044 32695378,BdGeral.Mdb:Geral,colunas_nomeadas
021324,00113489000108,CONSTRUTORA E INCORPORADORA VILSON HEIL LTDA.,ITAPEMA,SC,047 33684488,BdGeral.Mdb:Geral,colunas_nomeadas
021325,03463289000173,MARJORIE CALDEIRA DA SILVA.,SETE QUEDAS,MS,0067 34791217,BdGeral.Mdb:Geral,colunas_nomeadas
021326,04329691000122,COMERCIAL AGRO IGUAÇÚ LTDA.,BITURUNA,PR,042 35531237,BdGeral.Mdb:Geral,colunas_nomeadas
021327,03050287000152,ALMIR GONÇALVES CORRÊA M.E.,REGISTRO,SP,013 38213106,BdGeral.Mdb:Geral,colunas_nomeadas
021328,77623106000176,EMPRESA INTERNACIONAL DE ENGENHARIA LTDA.,CURITIBA,PR,041 33525459,BdGeral.Mdb:Geral,colunas_nomeadas
021329,04461550000169,GOMES E VERSUTI LTDA,PAICANDU,PR,044 32441020,BdGeral.Mdb:Geral,colunas_nomeadas
021331,89637490013638,KLABIN S/A.,LAGES,SC,049 32253277,BdGeral.Mdb:Geral,colunas_nomeadas
021332,94320090000222,VALDIR MENDES ANTUNES E CIA LTDA.,SAO JOSE DO OURO,RS,054 33521367,BdGeral.Mdb:Geral,colunas_nomeadas
021333,04462034000159,WAGNER GARCIA DA SILVA.,TUNEIRAS DO OESTE,PR,,BdGeral.Mdb:Geral,colunas_nomeadas
021334,83196717000188,FERNANDO COSTA COM. DE MAT. P/ CONSTRUÇÃO LTDA.,FLORIANOPOLIS,SC,048 32695791,BdGeral.Mdb:Geral,colunas_nomeadas
021335,82836412000120,SCHIMARC COMÉRCIO DE MAT. P/ CONSTRUÇÃO LTDA.,SAO JOSE,SC,048 33570563,BdGeral.Mdb:Geral,colunas_nomeadas
021337,02795281000141,H.Z.L. INDÚSTRIA E COMÉRCIO LTDA.,SAO MATEUS DO SUL,PR,042 35327661,BdGeral.Mdb:Geral,colunas_nomeadas
021339,04264540000133,M. SALVAGNINI MATERIAIS DE CONSTRUÇÃO LTDA.,MARINGA,PR,044 32657872,BdGeral.Mdb:Geral,colunas_nomeadas
021341,02813369000149,R.Z.M. MORELO LTDA.,MARUMBI,PR,043 34411217,BdGeral.Mdb:Geral,colunas_nomeadas
